"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4807","test_invalid_login","tests","2026-06-12","passed","2026-06-12","","test_login","",""
"","2733","test_user_registration","tests","2026-06-12","passed","2026-06-12","","test_user_registration","",""
"","2552","test_product_search","tests","2026-06-12","passed","2026-06-12","","test_product_search","",""
